
 Association for Disease, Query With Disease ID: Orphanet_399 

Target ID: ENSG00000197386 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000110422 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03235555555555556
Target ID: ENSG00000132646 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03223055555555556
Target ID: ENSG00000185149 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.032100000000000004
Target ID: ENSG00000158828 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03205
Target ID: ENSG00000140443 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.032
Target ID: ENSG00000168496 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03188333333333333
Target ID: ENSG00000070748 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03177777777777778
Target ID: ENSG00000232810 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03177711111111112
Target ID: ENSG00000116478 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03175
Target ID: ENSG00000106144 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0317
Target ID: ENSG00000108064 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03165555555555556
Target ID: ENSG00000154146 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0316
Target ID: ENSG00000132906 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0316
Target ID: ENSG00000144935 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03157777777777778
Target ID: ENSG00000164430 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03150000000000001
Target ID: ENSG00000166736 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.031200000000000002
Target ID: ENSG00000134046 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0312
Target ID: ENSG00000122729 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.031200000000000002
Target ID: ENSG00000135018 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.031100000000000003
Target ID: ENSG00000126581 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03108408100277148
Target ID: ENSG00000100219 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.030975000000000003
Target ID: ENSG00000164082 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.030900000000000004
Target ID: ENSG00000176170 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0308
Target ID: ENSG00000162882 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0308
Target ID: ENSG00000113083 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0308
Target ID: ENSG00000116741 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.030600000000000006
Target ID: ENSG00000114200 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.030491
Target ID: ENSG00000166165 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.030400000000000003
Target ID: ENSG00000124198 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0304
Target ID: ENSG00000108312 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.030400000000000003
Target ID: ENSG00000107262 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0303
Target ID: ENSG00000080815 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03026555555555556
Target ID: ENSG00000057252 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.030200000000000005
Target ID: ENSG00000069535 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.029944444444444444
Target ID: ENSG00000161011 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.029819244897959184
Target ID: ENSG00000169598 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0296
Target ID: ENSG00000138379 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.029600000000000005
Target ID: ENSG00000182827 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.029500000000000005
Target ID: ENSG00000132535 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.029400000000000003
Target ID: ENSG00000185624 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.029000000000000005
Target ID: ENSG00000186918 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.02897777777777778
Target ID: ENSG00000106688 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.028944444444444446
Target ID: ENSG00000112715 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.02875555555555556
Target ID: ENSG00000154229 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.028600000000000004
Target ID: ENSG00000108262 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0286
Target ID: ENSG00000087470 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.02858055555555556
Target ID: ENSG00000146469 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0284
Target ID: ENSG00000136750 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.028399999999999998
Target ID: ENSG00000105993 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0284
Target ID: ENSG00000143799 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.028244444444444444
Target ID: ENSG00000230223 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.028200000000000003
Target ID: ENSG00000225950 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0281
Target ID: ENSG00000149294 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.028
Target ID: ENSG00000124181 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.028000000000000004
Target ID: ENSG00000169429 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027800000000000002
Target ID: ENSG00000163625 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027800000000000002
Target ID: ENSG00000125520 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027800000000000002
Target ID: ENSG00000187764 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027600000000000003
Target ID: ENSG00000186191 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027600000000000003
Target ID: ENSG00000185386 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027400000000000004
Target ID: ENSG00000136634 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027400000000000004
Target ID: ENSG00000258839 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027200000000000002
Target ID: ENSG00000151151 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027200000000000002
Target ID: ENSG00000108342 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027200000000000002
Target ID: ENSG00000100462 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027200000000000002
Target ID: ENSG00000091972 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027200000000000002
Target ID: ENSG00000085224 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027200000000000002
Target ID: ENSG00000154277 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.027
Target ID: ENSG00000118689 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026900000000000004
Target ID: ENSG00000188486 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026800000000000004
Target ID: ENSG00000143384 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026800000000000004
Target ID: ENSG00000141084 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026800000000000004
Target ID: ENSG00000127152 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026800000000000004
Target ID: ENSG00000125733 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026800000000000004
Target ID: ENSG00000120251 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026800000000000004
Target ID: ENSG00000011243 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026800000000000004
Target ID: ENSG00000128564 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0266
Target ID: ENSG00000112164 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026600000000000002
Target ID: ENSG00000136869 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026400000000000003
Target ID: ENSG00000124920 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026400000000000003
Target ID: ENSG00000033800 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026400000000000003
Target ID: ENSG00000030582 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0262
Target ID: ENSG00000198055 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0261
Target ID: ENSG00000245848 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000196363 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000183735 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000177000 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000148834 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000143603 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000041982 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000007968 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.026000000000000002
Target ID: ENSG00000257017 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0256
Target ID: ENSG00000183691 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0256
Target ID: ENSG00000118260 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0256
Target ID: ENSG00000089169 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0256
Target ID: ENSG00000076242 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0256
Target ID: ENSG00000068831 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0256
Target ID: ENSG00000138669 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000136928 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000136830 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000125571 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000114446 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000113648 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000108984 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000106018 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000100968 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000096968 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000029534 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0252
Target ID: ENSG00000197745 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000184557 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000168539 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000167671 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000132639 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000132002 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000130699 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000125538 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000092964 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000079999 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000008056 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024800000000000003
Target ID: ENSG00000185950 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000180739 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000178394 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000168958 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000166479 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000165553 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000162992 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000155511 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000143839 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000141433 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000136931 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000130427 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000121966 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000110244 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000109576 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000105974 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000104312 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000100227 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000091513 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000089057 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000087095 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000070087 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0244
Target ID: ENSG00000185591 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024
Target ID: ENSG00000123454 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024
Target ID: ENSG00000110881 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024
Target ID: ENSG00000100351 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024
Target ID: ENSG00000099991 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024
Target ID: ENSG00000087088 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024
Target ID: ENSG00000063176 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.024
Target ID: ENSG00000185345 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.023933333333333338
Target ID: ENSG00000147955 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0239
Target ID: ENSG00000163106 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.023400000000000004
Target ID: ENSG00000100030 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0232
Target ID: ENSG00000073756 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.022900000000000004
Target ID: ENSG00000111674 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.022583333333333334
Target ID: ENSG00000128683 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.022555555555555558
Target ID: ENSG00000181163 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.022500000000000003
Target ID: ENSG00000104517 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0224
Target ID: ENSG00000147649 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.02208555555555556
Target ID: ENSG00000186868 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.021400000000000002
Target ID: ENSG00000164270 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.021400000000000002
Target ID: ENSG00000167323 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.020800000000000003
Target ID: ENSG00000160633 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0204
Target ID: ENSG00000144891 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0204
Target ID: ENSG00000186416 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.020000000000000004
Target ID: ENSG00000141012 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.020000000000000004
Target ID: ENSG00000138798 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.020000000000000004
Target ID: ENSG00000137462 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.020000000000000004
Target ID: ENSG00000115966 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.020000000000000004
Target ID: ENSG00000106546 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.020000000000000004
Target ID: ENSG00000180772 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0188
Target ID: ENSG00000177425 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.018733333333333334
Target ID: ENSG00000188021 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.018433333333333336
Target ID: ENSG00000142168 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.01840472358703558
Target ID: ENSG00000113649 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.018375
Target ID: ENSG00000197249 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.018
Target ID: ENSG00000144035 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.018
Target ID: ENSG00000033011 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0177
Target ID: ENSG00000104722 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.017655555555555556
Target ID: ENSG00000151929 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.017455555555555557
Target ID: ENSG00000064012 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.01730555555555556
Target ID: ENSG00000152137 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.01725555555555556
Target ID: ENSG00000169083 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.017250687603518944
Target ID: ENSG00000135740 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0172
Target ID: ENSG00000115414 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0172
Target ID: ENSG00000077232 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0172
Target ID: ENSG00000074800 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0172
Target ID: ENSG00000108518 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.017000000000000005
Target ID: ENSG00000105329 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.017000000000000005
Target ID: ENSG00000124788 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016979888888888888
Target ID: ENSG00000170315 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016963888888888886
Target ID: ENSG00000169919 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016800000000000002
Target ID: ENSG00000132155 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016800000000000002
Target ID: ENSG00000028116 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0167
Target ID: ENSG00000164733 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.01665555555555556
Target ID: ENSG00000277586 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016600000000000004
Target ID: ENSG00000086205 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016399999999999998
Target ID: ENSG00000130985 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016300000000000002
Target ID: ENSG00000110436 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016300000000000002
Target ID: ENSG00000146648 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016200000000000003
Target ID: ENSG00000138735 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.016105555555555557
Target ID: ENSG00000142208 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0158
Target ID: ENSG00000181555 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0157
Target ID: ENSG00000068078 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015605555555555555
Target ID: ENSG00000170893 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015355555555555555
Target ID: ENSG00000198794 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015300000000000001
Target ID: ENSG00000146360 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0152
Target ID: ENSG00000134001 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015200000000000002
Target ID: ENSG00000107331 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0152
Target ID: ENSG00000044574 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0152
Target ID: ENSG00000215845 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015
Target ID: ENSG00000109971 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015000000000000001
Target ID: ENSG00000108691 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015000000000000001
Target ID: ENSG00000102003 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.015
Target ID: ENSG00000176903 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014800000000000002
Target ID: ENSG00000149577 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014800000000000002
Target ID: ENSG00000106459 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014800000000000002
Target ID: ENSG00000140941 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014700000000000003
Target ID: ENSG00000102265 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014700000000000001
Target ID: ENSG00000255302 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014400000000000003
Target ID: ENSG00000157368 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014400000000000003
Target ID: ENSG00000130758 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014400000000000003
Target ID: ENSG00000116030 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0143
Target ID: ENSG00000162711 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014199999999999999
Target ID: ENSG00000100285 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014199999999999999
Target ID: ENSG00000185896 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014155555555555557
Target ID: ENSG00000109689 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014100000000000001
Target ID: ENSG00000171791 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014066666666666668
Target ID: ENSG00000180667 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014000000000000002
Target ID: ENSG00000172156 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014000000000000002
Target ID: ENSG00000164961 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014000000000000002
Target ID: ENSG00000157152 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014000000000000002
Target ID: ENSG00000133318 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014000000000000002
Target ID: ENSG00000115665 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014000000000000002
Target ID: ENSG00000104368 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.014000000000000002
Target ID: ENSG00000078142 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013900000000000001
Target ID: ENSG00000105953 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0138
Target ID: ENSG00000173163 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013600000000000001
Target ID: ENSG00000163328 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013600000000000001
Target ID: ENSG00000139436 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013600000000000001
Target ID: ENSG00000068305 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013600000000000001
Target ID: ENSG00000136436 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013500000000000003
Target ID: ENSG00000133256 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013500000000000003
Target ID: ENSG00000169271 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013400000000000002
Target ID: ENSG00000118046 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013400000000000002
Target ID: ENSG00000205359 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013200000000000002
Target ID: ENSG00000178053 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013200000000000002
Target ID: ENSG00000130479 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013200000000000002
Target ID: ENSG00000096384 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013200000000000002
Target ID: ENSG00000065559 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013200000000000002
Target ID: ENSG00000163635 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013044444444444447
Target ID: ENSG00000188906 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000145715 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000141837 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000124762 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000121351 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000100300 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000089280 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000078140 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000075624 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.013000000000000001
Target ID: ENSG00000213886 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0128
Target ID: ENSG00000203737 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0128
Target ID: ENSG00000163536 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0128
Target ID: ENSG00000160712 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0128
Target ID: ENSG00000152822 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0128
Target ID: ENSG00000151790 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0128
Target ID: ENSG00000015479 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0128
Target ID: ENSG00000109339 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0127
Target ID: ENSG00000111537 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012500000000000002
Target ID: ENSG00000265354 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000256762 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000198400 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000196689 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000178127 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000166664 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000139546 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000138207 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000125845 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000124140 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000113578 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000112096 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012400000000000001
Target ID: ENSG00000123374 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012100000000000001
Target ID: ENSG00000172757 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012
Target ID: ENSG00000169676 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012
Target ID: ENSG00000166349 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012
Target ID: ENSG00000163686 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012
Target ID: ENSG00000151552 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012
Target ID: ENSG00000136352 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.012
